Date,Ta_mean,Recon
1835-04,7.6,
1835-05,13.1,
1835-06,16.2,
1835-07,19.9,
1835-08,17,
1835-09,13.5,
1835-10,7.1,
1835-11,0.5,
1835-12,-3.4,
1836-01,-2,
1836-02,-0.3,
1836-03,6,
1836-04,7.2,
1836-05,10.6,
1836-06,16.4,
1836-07,18.5,
1836-08,17.9,
1836-09,12.6,
1836-10,8.8,
1836-11,3.6,
1836-12,1,
1837-01,-2.3,
1837-02,0.1,
1837-03,0.1,
1837-04,5.3,
1837-05,9.2,
1837-06,17.7,
1837-07,17.6,
1837-08,19.3,
1837-09,11.7,
1837-10,8.4,
1837-11,2.7,
1837-12,0.2,
1838-01,-6.5,
1838-02,-1.3,
1838-03,3.7,
1838-04,5,
1838-05,12.6,
1838-06,15.7,
1838-07,17.7,
1838-08,15.9,
1838-09,13.9,
1838-10,8.8,
1838-11,4.9,
1838-12,-1,
1839-01,-1.5,
1839-02,0.7,
1839-03,2.7,
1839-04,5.2,
1839-05,11.5,
1839-06,18.5,
1839-07,17.6,
1839-08,15.7,
1839-09,13.8,
1839-10,10.6,
1839-11,5.5,
1839-12,3,
1840-01,0.7,
1840-02,-0.5,
1840-03,0,
1840-04,10.1,
1840-05,12.8,
1840-06,16.2,
1840-07,15.7,
1840-08,17.7,
1840-09,13.8,
1840-10,7,
1840-11,5.9,
1840-12,-4.4,
1841-01,-1.7,
1841-02,-0.8,
1841-03,5.6,
1841-04,8.2,
1841-05,16.3,
1841-06,14.4,
1841-07,16,
1841-08,16.3,
1841-09,15.1,
1841-10,10.2,
1841-11,4.2,
1841-12,2.7,
1842-01,-3.9,
1842-02,-3,
1842-03,4.5,
1842-04,8.3,
1842-05,13.7,
1842-06,18.5,
1842-07,17.7,
1842-08,19.2,
1842-09,13,
1842-10,5.8,
1842-11,2.3,
1842-12,0,
1843-01,0.1,
1843-02,2.2,
1843-03,3.4,
1843-04,8.4,
1843-05,10.9,
1843-06,13.5,
1843-07,15.9,
1843-08,16.6,
1843-09,14.1,
1843-10,8.8,
1843-11,4,
1843-12,-0.4,
1844-01,-2.6,
1844-02,-1.4,
1844-03,2.9,
1844-04,10.1,
1844-05,11.6,
1844-06,17.8,
1844-07,16.7,
1844-08,15,
1844-09,15,
1844-10,9.5,
1844-11,5,
1844-12,-2.7,
1845-01,-1.1,
1845-02,-4.5,
1845-03,0.4,
1845-04,8.7,
1845-05,10,
1845-06,16.7,
1845-07,17.9,
1845-08,14.9,
1845-09,14.4,
1845-10,9.4,
1845-11,5.5,
1845-12,2.8,
1846-01,-1.4,
1846-02,3.5,
1846-03,5.7,
1846-04,8.4,
1846-05,14.2,
1846-06,19.2,
1846-07,18.8,
1846-08,17.8,
1846-09,14.9,
1846-10,9.5,
1846-11,3.4,
1846-12,-3.5,
1847-01,-1.7,
1847-02,-1.8,
1847-03,2.4,
1847-04,5.2,
1847-05,15.3,
1847-06,13.7,
1847-07,18.5,
1847-08,17.2,
1847-09,11.6,
1847-10,8.5,
1847-11,3.4,
1847-12,-1.8,
1848-01,-6.1,
1848-02,1.5,
1848-03,4.3,
1848-04,9.6,
1848-05,14,
1848-06,16.5,
1848-07,18,
1848-08,17.4,
1848-09,13.3,
1848-10,9,
1848-11,2.3,
1848-12,0.1,
1849-01,0.8,
1849-02,1.9,
1849-03,2.4,
1849-04,6.1,
1849-05,13.1,
1849-06,17.8,
1849-07,18,
1849-08,16,
1849-09,14.6,
1849-10,9.7,
1849-11,1.2,
1849-12,-1.3,
1850-01,-3.1,
1850-02,3.8,
1850-03,1.5,
1850-04,7.6,
1850-05,10.5,
1850-06,17,
1850-07,17.2,
1850-08,16.2,
1850-09,12.1,
1850-10,6.6,
1850-11,5.7,
1850-12,0.2,
1851-01,-0.2,
1851-02,-0.1,
1851-03,2.6,
1851-04,8.6,
1851-05,9.4,
1851-06,17,
1851-07,16.8,
1851-08,16.6,
1851-09,10.7,
1851-10,9,
1851-11,-0.3,
1851-12,-4.6,
1852-01,-0.1,
1852-02,1.5,
1852-03,1.5,
1852-04,7.1,
1852-05,13.3,
1852-06,15.3,
1852-07,19.1,
1852-08,16.5,
1852-09,13.4,
1852-10,8.4,
1852-11,7.5,
1852-12,3.1,
1853-01,1.2,
1853-02,-1.3,
1853-03,0,
1853-04,6.4,
1853-05,11.6,
1853-06,15.1,
1853-07,18.1,
1853-08,17.7,
1853-09,13.3,
1853-10,9.1,
1853-11,4.1,
1853-12,-4.3,
1854-01,-1.6,
1854-02,-1.9,
1854-03,3,
1854-04,8.4,
1854-05,12.6,
1854-06,14.6,
1854-07,17.8,
1854-08,16.6,
1854-09,14.7,
1854-10,9.1,
1854-11,1.8,
1854-12,1.1,
1855-01,-3.9,
1855-02,-0.3,
1855-03,2.7,
1855-04,6.9,
1855-05,10.9,
1855-06,15.3,
1855-07,16.9,
1855-08,18,
1855-09,14.8,
1855-10,10.4,
1855-11,2.5,
1855-12,-3.7,
1856-01,0.6,
1856-02,2,
1856-03,3.9,
1856-04,9.7,
1856-05,11.1,
1856-06,17.1,
1856-07,17.5,
1856-08,18.8,
1856-09,12.8,
1856-10,9.2,
1856-11,1,
1856-12,-0.5,
1857-01,-1.8,
1857-02,-1.8,
1857-03,3.1,
1857-04,6.8,
1857-05,12.6,
1857-06,15.5,
1857-07,18.7,
1857-08,17.6,
1857-09,14.9,
1857-10,10.2,
1857-11,3.2,
1857-12,-0.5,
1858-01,-4.4,
1858-02,-1.2,
1858-03,3.5,
1858-04,10.5,
1858-05,11.1,
1858-06,18.9,
1858-07,16.8,
1858-08,16.5,
1858-09,15.6,
1858-10,9.4,
1858-11,0.1,
1858-12,0.4,
1859-01,-2.6,
1859-02,0.6,
1859-03,5.8,
1859-04,8.5,
1859-05,12.5,
1859-06,16.5,
1859-07,21.5,
1859-08,19.9,
1859-09,14.5,
1859-10,10.1,
1859-11,2.6,
1859-12,-3.3,
1860-01,1.2,
1860-02,-3,
