Date,Ta_mean,Std_err
1840-07,15.6,0.24
1840-08,17.9,0.21
1840-09,13.4,0.19
1840-10,7,0.15
1840-11,5.7,0.12
1840-12,-4.2,0.11
1841-01,-1.8,0.12
1841-02,-0.6,0.14
1841-03,5.6,0.17
1841-04,7.7,0.21
1841-05,15.8,0.23
1841-06,14.1,0.25
1841-07,15.9,0.24
1841-08,16.4,0.22
1841-09,15.1,0.19
1841-10,9.6,0.15
1841-11,3.5,0.13
1841-12,2.3,0.12
1842-01,-4.2,0.13
1842-02,-2.7,0.16
1842-03,4.4,0.19
1842-04,8.1,0.22
1842-05,13.2,0.23
1842-06,18.2,0.25
1842-07,17.6,0.24
1842-08,18.8,0.23
1842-09,12.5,0.2
1842-10,5.3,0.15
1842-11,1.3,0.12
1842-12,-0.6,0.12
1843-01,-0.4,0.12
1843-02,1.7,0.14
1843-03,3.5,0.17
1843-04,8.1,0.21
1843-05,10.5,0.23
1843-06,13.5,0.25
1843-07,15.9,0.24
1843-08,16.2,0.23
1843-09,13.5,0.2
1843-10,8.4,0.15
1843-11,3.1,0.12
1843-12,-1.4,0.12
1844-01,-2.9,0.12
1844-02,-1.7,0.14
1844-03,2.6,0.17
1844-04,10.1,0.21
1844-05,10.9,0.23
1844-06,17.2,0.25
1844-07,16.7,0.24
1844-08,14.6,0.23
1844-09,14.8,0.19
1844-10,8.8,0.14
1844-11,4,0.12
1844-12,-3.4,0.11
1845-01,-1.6,0.12
1845-02,-4.9,0.14
1845-03,0.4,0.17
1845-04,8.1,0.21
1845-05,9.1,0.23
1845-06,15.9,0.25
1845-07,17.5,0.24
1845-08,14.9,0.23
1845-09,14.2,0.18
1845-10,8.5,0.14
1845-11,4.6,0.12
1845-12,2,0.11
1846-01,-2.2,0.12
1846-02,3.1,0.14
1846-03,5.3,0.17
1846-04,8.1,0.21
1846-05,13.5,0.23
1846-06,18.7,0.25
1846-07,19.3,0.24
1846-08,18.2,0.23
1846-09,15,0.18
1846-10,9.3,0.14
1846-11,3,0.12
1846-12,-3.7,0.11
1847-01,-1.9,0.16
1847-02,-1.8,0.17
1847-03,2,0.18
1847-04,4.9,0.22
1847-05,14.9,0.27
1847-06,13,0.28
1847-07,18.1,0.26
1847-08,16.8,0.23
1847-09,11.3,0.2
1847-10,8.1,0.16
1847-11,2.7,0.16
1847-12,-2.6,0.15
1848-01,-6.7,0.12
1848-02,0.8,0.14
1848-03,3.5,0.17
1848-04,8.8,0.21
1848-05,13.6,0.23
1848-06,16.1,0.25
1848-07,18.2,0.24
1848-08,17.4,0.21
1848-09,13.2,0.18
1848-10,8.6,0.14
1848-11,1.8,0.12
1848-12,-0.1,0.11
1849-01,0.6,0.12
1849-02,1.3,0.14
1849-03,2.2,0.16
1849-04,5.6,0.2
1849-05,12.7,0.23
1849-06,17.5,0.25
1849-07,18,0.24
1849-08,16.2,0.21
1849-09,14.2,0.18
1849-10,9.2,0.16
1849-11,0.5,0.15
1849-12,-1.6,0.15
1850-01,-3,0.16
1850-02,3.2,0.17
1850-03,1,0.18
1850-04,7,0.25
1850-05,10,0.25
1850-06,16,0.26
1850-07,17.1,0.25
